Fz,C3,Cz,C4,Pz,PO7,Oz,PO8
177877.875,172293.328125,202677.671875,200574.109375,159193.0625,158391.53125,153109.09375,168044.625
177890.390625,172309.78125,202685.1875,200580.1875,159185.015625,158394.390625,153090.328125,168046.0625
177906.75,172323.375,202699.578125,200592.796875,159186.984375,158415.671875,153113.390625,168054.1875
177914.0,172328.375,202707.0,200600.65625,159201.828125,158427.203125,153119.828125,168058.578125
177922.046875,172341.796875,202715.578125,200607.90625,159230.34375,158430.953125,153118.046875,168068.5
177927.40625,172345.640625,202717.640625,200610.40625,159238.9375,158428.015625,153115.796875,168068.9375
177954.9375,172372.1875,202741.59375,200627.125,159253.328125,158462.796875,153172.75,168099.4375
177991.0625,172406.078125,202772.171875,200657.34375,159266.46875,158494.265625,153191.078125,168129.5625
178000.625,172415.015625,202779.859375,200665.5625,159275.234375,158493.640625,153169.359375,168136.0
178012.515625,172423.953125,202790.0625,200678.625,159308.046875,158501.234375,153191.984375,168160.578125
178025.03125,172435.765625,202802.578125,200697.671875,159336.109375,158521.625,153232.84375,168189.828125
178041.125,172457.75,202816.25,200705.53125,159336.46875,158538.0625,153238.375,168190.0
178039.96875,172461.859375,202813.03125,200702.3125,159319.21875,158539.234375,153220.859375,168178.109375
178039.515625,172465.53125,202814.640625,200708.21875,159334.0625,158552.203125,153240.890625,168196.53125
178044.265625,172466.15625,202818.484375,200713.21875,159359.8125,158557.65625,153251.96875,168207.4375
178051.140625,172479.84375,202826.09375,200720.109375,159376.53125,158565.34375,153262.875,168219.6875
178058.03125,172488.234375,202831.359375,200724.390625,159369.828125,158577.59375,153275.671875,168228.984375
178068.40625,172498.515625,202837.890625,200731.546875,159363.46875,158594.390625,153291.9375,168240.78125
